Target,Best Model,MAE,MSE,RMSE,R2
Temperature,Random Forest,2.4896575429729197,9.814675667994946,3.132838276706116,0.693422516362747
Humidity,Random Forest,11.791555180873875,213.14299370528013,14.599417581029735,0.2632702115309963
Wind Speed,Linear Regression,3.4081713521765358,20.205412901355306,4.495043147885825,-0.24506000131683314
Pressure,Random Forest,38.00561437402563,161581.94774066488,401.97257088098047,0.0003091363784798462
